"Área de Planejamento, Região de Planejamento e Região Administrtiva",Bairros,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Município,TODOS,1 236 169,1 272 741,1 158 496,1 131 019,1 091 855, 997 871,1 273 685,1 478 809,1 506 671,1 463 643
Área de Planejamento 1,Área de Planejamento 1, 92 353, 95 657, 85 184, 84 410, 129 739,..., 101 636, 118 046, 104 076, 113 444
Região de Planejamento 1.1 - Centro,Região de Planejamento 1.1 - Centro, 92 353, 95 657, 85 184, 84 410, 129 739,..., 101 636, 118 046, 104 076, 113 444
Região de Planejamento 1.1 - Centro,I Portuária,...,...,..., 84 410, 35 916,..., 11 386, 15 547, 10 492, 12 260
Região de Planejamento 1.1 - Centro,II Centro, 92 353, 95 657, 85 184,..., 43 008,..., 42 064, 49 518, 45 043, 50 449
Região de Planejamento 1.1 - Centro,III Rio Comprido,...,...,...,..., 13 602,..., 15 626, 18 037, 16 413, 19 230
Região de Planejamento 1.1 - Centro,VII São Cristóvão,...,...,...,..., 28 965,..., 19 481, 21 525, 19 523, 18 494
Região de Planejamento 1.1 - Centro,XXI Paquetá,...,...,...,...,...,...,...,...,...,...
Região de Planejamento 1.1 - Centro,XXIII Santa Teresa,...,...,...,..., 8 248,..., 13 080, 13 419, 12 604, 13 012
Área de Planejamento 2,Área de Planejamento 2, 355 589, 368 381, 325 290, 317 156, 250 451,..., 271 814, 309 882, 306 153, 280 443
Região de Planejamento 2.1 - Zona Sul,Região de Planejamento 2.1 - Zona Sul, 216 607, 223 372, 199 342, 190 613, 176 323,..., 182 623, 202 917, 206 901, 182 447
Região de Planejamento 2.1 - Zona Sul,IV Botafogo, 216 607, 223 372, 199 342, 190 613, 82 333,..., 68 300, 81 967, 80 935, 69 934
Região de Planejamento 2.1 - Zona Sul,V Copacabana,...,...,...,..., 41 071,..., 51 555, 59 287, 54 165, 52 783
Região de Planejamento 2.1 - Zona Sul,VI Lagoa,...,...,...,..., 52 919,..., 62 768, 61 663, 71 801, 59 729
Região de Planejamento 2.1 - Zona Sul,XXVII Rocinha,...,...,...,...,...,...,...,...,...,...
