"Áreas de Planejamento, Região de Planejamento e Regiões Administrtivas",Bairros,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Município,Todos, 1 439 526 , 1 425 176 , 1 451 954 , 1 385 929 , 1 445 490 , 1 465 994 , 1 515 791 , 1 513 533 , 1 576 935 , 1 589 344 
Área de Planejamento 1,Área de Planejamento 1,  102 566 ,  89 595 ,  92 248 ,  82 877 ,  82 113 ,  89 279 ,  89 171 ,  92 007 ,  91 634 ,  87 626 
Região de Planejamento 1.1 - Centro,Região de Planejamento 1.1 - Centro, 102 566, 89 595, 92 248, 82 877, 82 113, 89 279, 89 171, 92 007, 91 634, 87 626
Região de Planejamento 1.1 - Centro,I Portuária,  9 776 ,  8 526 ,  10 296 ,  11 441 ,  9 818 ,  11 645 ,  11 911 ,  13 333 ,  13 192 ,  11 170 
Região de Planejamento 1.1 - Centro,II Centro,  43 573 ,  37 440 ,  33 184 ,  29 451 ,  28 783 ,  31 138 ,  30 194 ,  30 673 ,  31 439 ,  27 213 
Região de Planejamento 1.1 - Centro,III Rio Comprido,  18 189 ,  15 153 ,  18 008 ,  13 532 ,  13 881 ,  15 088 ,  15 344 ,  15 469 ,  15 903 ,  15 511 
Região de Planejamento 1.1 - Centro,VII São Cristóvão,  16 975 ,  14 838 ,  16 297 ,  15 270 ,  16 780 ,  17 842 ,  19 168 ,  19 764 ,  19 871 ,  17 729 
Região de Planejamento 1.1 - Centro,XXI  Paquetá,...,  1 175 ,  2 508 ,  2 133 ,  1 458 ,   973 ,...,..., 0,  4 404 
Região de Planejamento 1.1 - Centro,XXIII Santa Teresa,  14 053 ,  12 462 ,  11 954 ,  11 051 ,  11 393 ,  12 594 ,  12 555 ,  12 768 ,  11 229 ,  11 598 
Área de Planejamento 2,Área de Planejamento 2,  278 434 ,  272 369 ,  262 386 ,  241 949 ,  239 899 ,  257 965 ,  257 511 ,  266 316 ,  282 963 ,  275 459 
Região de Planejamento 2.1 - Zona Sul,Região de Planejamento 2.1 - Zona Sul, 182 530, 176 507, 166 882, 153 433, 151 710, 162 216, 164 495, 165 537, 171 102, 181 731
Região de Planejamento 2.1 - Zona Sul,IV Botafogo,  70 216 ,  68 533 ,  68 123 ,  61 123 ,  59 025 ,  61 956 ,  62 572 ,  63 518 ,  67 157 ,  64 535 
Região de Planejamento 2.1 - Zona Sul,V Copacabana,  51 037 ,  49 080 ,  45 723 ,  41 282 ,  40 845 ,  46 379 ,  46 568 ,  47 540 ,  49 809 ,  43 856 
Região de Planejamento 2.1 - Zona Sul,VI Lagoa,  61 277 ,  58 894 ,  53 036 ,  51 028 ,  51 839 ,  53 881 ,  55 354 ,  54 480 ,  54 136 ,  56 788 
Região de Planejamento 2.1 - Zona Sul,XXVII Rocinha,...,  1 669 ,  5 426 ,  3 912 ,  6 636 ,  7 920 ,  6 153 ,  13 878 ,  18 515 ,  16 551 
Região de Planejamento 2.2 - Tijuca,Região de Planejamento 2.2 - Tijuca, 95 904, 94 193, 90 077, 84 604, 81 553, 87 829, 86 864, 86 901, 93 346, 93 728
Região de Planejamento 2.2 - Tijuca,VIII Tijuca,  50 257 ,  49 333 ,  47 779 ,  44 344 ,  45 009 ,  44 860 ,  45 015 ,  44 959 ,  47 957 ,  49 873 
Região de Planejamento 2.2 - Tijuca,IX Vila Isabel,  45 647 ,  44 860 ,  42 299 ,  40 260 ,  36 544 ,  42 969 ,  41 849 ,  41 942 ,  45 389 ,  43 855 
Área de Planejamento 3,Área de Planejamento 3,  534 541 ,  557 321 ,  580 615 ,  573 121 ,  593 776 ,  554 715 ,  587 716 ,  567 302 ,  571 827 ,  598 452 
Região de Planejamento 3.1 - Ramos,Região de Planejamento 3.1 - Ramos,  40 867 ,  48 542 ,  62 998 ,  77 226 ,  83 110 ,  57 079 ,  66 633 ,  62 879 ,  65 360 ,  59 049 
Região de Planejamento 3.1 - Ramos,X Ramos,  40 867 ,  37 009 ,  38 553 ,  53 038 ,  56 990 ,  33 863 ,  41 631 ,  39 087 ,  39 308 ,  34 284 
Região de Planejamento 3.1 - Ramos,XXX Maré,...,  11 533 ,  24 445 ,  24 188 ,  26 120 ,  23 216 ,  25 002 ,  23 792 ,  26 052 ,  24 764 
Região de Planejamento 3.2 - Méier,Região de Planejamento 3.2 - Méier,  94 584 ,  98 565 ,  100 021 ,  94 618 ,  102 114 ,  89 859 ,  91 986 ,  87 725 ,  69 288 ,  90 386 
Região de Planejamento 3.2 - Méier,XIII Méier,  94 584 ,  94 863 ,  93 987 ,  88 116 ,  96 315 ,  88 014 ,  91 986 ,  87 725 ,  69 288 ,  90 386 
Região de Planejamento 3.2 - Méier,XXVIII Jacarezinho,...,  3 702 ,  6 034 ,  6 502 ,  5 799 ,  1 845 ,...,...,...,...
Região de Planejamento 3.3 - Madureira,Região de Planejamento 3.3 - Madureira,  144 476 ,  158 555 ,  161 320 ,  157 102 ,  157 756 ,  158 486 ,  157 449 ,  156 853 ,  159 575 ,  162 177 
Região de Planejamento 3.3 - Madureira,XIV Irajá,  48 766 ,  51 846 ,  52 587 ,  51 974 ,  54 451 ,  55 955 ,  55 451 ,  54 796 ,  56 617 ,  56 315 
Região de Planejamento 3.3 - Madureira,XV Madureira,  95 710 ,  106 709 ,  108 733 ,  105 128 ,  103 305 ,  102 531 ,  101 997 ,  102 057 ,  102 958 ,  105 863 
