"Áreas de Planejamento, Regiões de Planejamento e Regiões Administrativas",Bairros,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Município,Todos, 1 659 543 , 1 594 002 , 1 828 591 , 1 891 006 , 1 788 658 , 1 913 998 , 1 822 437 , 1 806 830 , 1 812 362 , 1 775 587 
Área de Planejamento 1 ,Área de Planejamento 1 , 90 782, 155 459, 117 816, 115 237, 110 377, 120 204, 105 125, 100 001, 95 522, 93 878
Região de Planejamento 1.1 - Centro,Região de Planejamento 1.1 - Centro, 90 782, 155 459, 117 816, 115 237, 110 377, 120 204, 105 125, 100 001, 95 522, 93 878
Região de Planejamento 1.1 - Centro,I Portuária, 13 111, 16 060, 18 439, 15 088, 11 524, 11 172, 9 537, 10 295, 9 149, 13 714
Região de Planejamento 1.1 - Centro,II Centro, 27 676, 40 814, 43 915, 41 614, 37 969, 42 414, 37 891, 35 482, 32 477, 30 844
Região de Planejamento 1.1 - Centro,III Rio Comprido, 15 211, 16 700, 17 993, 18 731, 18 777, 23 692, 21 261, 20 250, 19 647, 20 639
Região de Planejamento 1.1 - Centro,VII São Cristóvão, 17 184, 45 970, 17 643, 19 468, 23 258, 25 363, 23 011, 20 933, 21 080, 16 783
Região de Planejamento 1.1 - Centro,XXI Paquetá (1), 5 669, 35 915, 2 127, 1 364, 1 349,...,...,...,...,...
Região de Planejamento 1.1 - Centro,XXIII Santa Teresa, 11 931,..., 17 699, 18 972, 17 500, 17 563, 13 425, 13 040, 13 168, 11 898
Área de Planejamento 2,Área de Planejamento 2, 282 021, 330 836, 310 359, 301 801, 273 159, 279 784, 250 495, 247 145, 241 325, 238 492
Região de Planejamento 2.1 - Zona Sul,Região de Planejamento 2.1 - Zona Sul, 186 003, 177 554, 207 816, 203 793, 186 149, 187 188, 169 237, 166 799, 163 161, 160 845
Região de Planejamento 2.1 - Zona Sul,IV Botafogo , 62 796, 19 224, 72 074, 70 616, 63 025, 64 691, 58 799, 59 346, 58 474, 56 090
Região de Planejamento 2.1 - Zona Sul,V Copacabana , 45 035, 47 152, 50 115, 48 725, 43 598, 43 634, 39 279, 39 193, 38 383, 38 598
Região de Planejamento 2.1 - Zona Sul,VI Lagoa , 60 193, 54 964, 79 099, 59 117, 55 668, 78 863, 71 159, 68 261, 66 304, 66 157
Região de Planejamento 2.1 - Zona Sul,XXVII Rocinha , 17 980, 56 214, 6 528, 25 336, 23 858,...,...,...,...,...
Região de Planejamento 2.2 - Tijuca,Região de Planejamento 2.2 - Tijuca, 96 018, 153 282, 102 542, 98 008, 87 010, 92 596, 81 258, 80 346, 78 163, 77 647
Região de Planejamento 2.2 - Tijuca,VIII Tijuca , 49 401, 96 743, 50 236, 49 817, 47 722, 50 130, 44 254, 44 188, 41 923, 41 447
Região de Planejamento 2.2 - Tijuca,IX Vila Isabel , 46 618, 56 539, 52 307, 48 191, 39 289, 42 466, 37 004, 36 158, 36 240, 36 200
Área de Planejamento 3,Área de Planejamento 3, 608 096, 792 268, 652 813, 684 848, 634 863, 685 000, 649 886, 636 051, 632 304, 599 547
Região de Planejamento 3.1 - Ramos,Região de Planejamento 3.1 - Ramos, 58 130, 152 018, 81 856, 76 798, 80 804, 83 716, 79 877, 83 979, 81 720, 71 898
Região de Planejamento 3.1 - Ramos,X Ramos , 33 796, 102 224, 81 856, 51 199, 53 870, 83 716, 79 877, 83 979, 81 720, 71 898
Região de Planejamento 3.1 - Ramos,XXX Maré, 24 333, 49 794,..., 25 600, 26 935,...,...,...,...,...
Região de Planejamento 3.2 - Méier,Região de Planejamento 3.2 - Méier, 88 971, 151 162, 102 607, 100 936, 94 462, 101 017, 82 997, 82 037, 84 614, 85 903
Região de Planejamento 3.2 - Méier,XIII Méier , 88 971, 139 578, 102 607, 100 936, 94 462, 101 017, 82 997, 82 037, 84 614, 85 903
Região de Planejamento 3.2 - Méier,XXVIII Jacarezinho , 0, 11 584,...,...,...,...,...,...,...,...
Região de Planejamento 3.3 - Madureira,Região de Planejamento 3.3 - Madureira, 166 051, 144 437, 169 322, 174 052, 154 988, 162 884, 162 547, 158 340, 160 152, 151 972
Região de Planejamento 3.3 - Madureira,XIV Irajá , 58 192, 81 385, 59 791, 59 740, 51 691, 56 447, 57 778, 56 469, 57 812, 52 283
Região de Planejamento 3.3 - Madureira,XV Madureira , 107 860, 63 052, 109 531, 114 312, 103 297, 106 407, 104 769, 101 872, 102 341, 99 689
Região de Planejamento 3.4 - Inhaúma,Região de Planejamento 3.4 - Inhaúma, 50 039, 167 631, 46 623, 63 088, 53 733, 74 168, 73 961, 71 483, 69 795, 61 147
Região de Planejamento 3.4 - Inhaúma,XII Inhaúma , 40 576, 97 642, 46 623, 54 555, 44 754, 52 328, 45 066, 43 023, 42 047, 38 468
Região de Planejamento 3.4 - Inhaúma,XXIX Complexo do Alemão, 9 463, 69 989,..., 8 533, 8 978, 21 840, 28 895, 28 460, 27 748, 22 679
Região de Planejamento 3.5 - Penha,Região de Planejamento 3.5 - Penha, 92 871, 90 594, 96 236, 101 401, 93 750, 94 366, 86 861, 81 281, 77 566, 76 412
Região de Planejamento 3.5 - Penha,XI Penha, 55 776, 54 964, 59 570, 62 533, 55 590, 55 661, 50 621, 46 027, 42 078, 40 525
Região de Planejamento 3.5 - Penha,XXXI Vigário Geral , 37 095,  35 630 , 36 665, 38 869, 38 160, 38 705, 36 240, 35 253, 35 488, 35 888
Região de Planejamento 3.6 - Pavuna,Região de Planejamento 3.6 - Pavuna, 90 132, 47 836, 91 966, 96 768, 89 988, 94 052, 96 424, 92 861, 93 125, 84 150
Região de Planejamento 3.6 - Pavuna,XXII Anchieta , 48 595, 24 260, 49 752, 51 949, 46 354, 44 221, 41 433, 41 363, 41 808, 38 772
Região de Planejamento 3.6 - Pavuna,XXV Pavuna , 41 538, 23 576, 42 214, 44 818, 43 634, 49 831, 54 991, 51 498, 51 317, 45 379
Região de Planejamento 3.7 - Ilha do Governador, XX Ilha do Governador , 61 902, 38 590, 64 202, 71 804, 67 138, 74 797, 67 219, 66 070, 65 332, 68 064
Área de Planejamento 4,Área de Planejamento 4, 278 769, 59 594, 312 880, 313 648, 310 671, 326 023, 321 034, 316 007, 317 143, 308 521
Região de Planejamento 4.1 - Jacarepaguá,Região de Planejamento 4.1 - Jacarepaguá, 186 585, 51 735, 205 237, 203 559, 208 978, 218 289, 218 509, 218 088, 214 881, 197 105
Região de Planejamento 4.1 - Jacarepaguá,XVI Jacarepaguá , 175 390, 1 381, 202 004, 191 346, 196 439, 218 289, 218 509, 218 088, 214 881, 197 105
Região de Planejamento 4.1 - Jacarepaguá,XXXIV Cidade de Deus, 11 195, 50 354, 3 233, 12 214, 12 539,...,...,...,...,...
Região de Planejamento 4.2 - Barra da Tijuca,XXIV Barra da Tijuca , 92 184, 7 859, 107 643, 110 088, 101 693, 107 734, 102 525, 97 920, 102 262, 111 416
Área de Planejamento 5,Área de Planejamento 5, 389 911, 247 949, 432 125, 464 016, 443 500, 469 051, 460 188, 458 696, 479 934, 487 634
Região de Planejamento 5.1 - Bangu,Região de Planejamento 5.1 - Bangu, 148 476, 99 249, 156 206, 159 521, 158 104, 164 853, 161 624, 162 882, 173 364, 174 315
Região de Planejamento 5.1 - Bangu,XVII Bangu , 93 142, 48 055, 98 629, 100 572, 99 498, 104 275, 102 176, 102 089, 108 892, 109 697
Região de Planejamento 5.1 - Bangu,XXXIII Realengo, 55 333, 51 194, 57 577, 58 948, 58 606, 60 578, 59 448, 60 793, 64 472, 64 618
Região de Planejamento 5.2 - Campo Grande,XVIII Campo Grande , 130 931, 14 721, 149 321, 168 252, 156 746, 164 409, 161 313, 158 267, 162 770, 163 927
Região de Planejamento 5.3 - Santa Cruz,XIX Santa Cruz , 77 099, 98 349, 88 115, 95 807, 89 908, 96 144, 83 921, 76 979, 80 711, 83 673
Região de Planejamento 5.4 - Guaratiba ,XXVI Guaratiba , 33 405, 35 630, 38 483, 40 436, 38 743, 43 645, 53 330, 60 568, 63 089, 65 720
Coleta Seletiva ,, 9 963, 7 896,"2 597", 11 456, 16 087, 33 936,"35 709", 48 930, 46 134, 47 515
