"Áreas de Planejamento, Regiões de Planejamento e Regiões Administrativas",Bairros,2020,2021,2022,2023
Município,Todos, 1 755 086 , 1 738 963 , 1 645 833 , 1 651 306 
Área de Planejamento 1 ,Área de Planejamento 1 , 70 890, 72 900, 77 554, 77 479
Região de Planejamento 1.1 - Centro,Região de Planejamento 1.1 - Centro, 70 890, 72 900, 77 554, 77 294
Região de Planejamento 1.1 - Centro,I Portuária, 8 212, 9 125, 14 766, 14 226
Região de Planejamento 1.1 - Centro,II Centro, 23 223, 20 404, 20 092, 19 998
Região de Planejamento 1.1 - Centro,III Rio Comprido, 24 099, 28 519, 29 652, 30 211
Região de Planejamento 1.1 - Centro,VII São Cristóvão, 15 356, 14 853, 13 044, 12 858
Região de Planejamento 1.1 - Centro,XXI Paquetá (1),…,…,…,…
Região de Planejamento 1.1 - Centro,XXIII Santa Teresa (2),…,…,…,…
Região de Planejamento 1.1 - Centro,Coleta de Orgânico nas Escolas Municipais ,...,...,...,  185
Área de Planejamento 2,Área de Planejamento 2, 228 719, 227 003, 213 920, 210 139
Região de Planejamento 2.1 - Zona Sul,Região de Planejamento 2.1 - Zona Sul, 150 938, 150 339, 142 227, 138 010
Região de Planejamento 2.1 - Zona Sul,IV Botafogo , 49 414, 48 521, 45 490, 44 672
Região de Planejamento 2.1 - Zona Sul,V Copacabana , 35 411, 35 750, 35 709, 32 555
Região de Planejamento 2.1 - Zona Sul,VI Lagoa , 66 113, 66 069, 61 027, 51 878
Região de Planejamento 2.1 - Zona Sul,XXVII Rocinha ,…,…,…, 8 905
Região de Planejamento 2.2 - Tijuca,, 77 781, 76 664, 71 693, 72 129
Região de Planejamento 2.2 - Tijuca,VIII Tijuca , 42 337, 38 875, 35 382, 36 969
Região de Planejamento 2.2 - Tijuca,IX Vila Isabel , 35 444, 37 789, 36 311, 35 160
Área de Planejamento 3,Área de Planejamento 3, 612 597, 629 031, 600 396, 582 695
Região de Planejamento 3.1 - Ramos,Região de Planejamento 3.1 - Ramos, 73 810, 76 716, 61 140, 59 656
Região de Planejamento 3.1 - Ramos,X Ramos , 73 810, 76 716, 61 140, 59 656
Região de Planejamento 3.1 - Ramos,XXX Maré,…,…,…,…
Região de Planejamento 3.2 - Méier,Região de Planejamento 3.2 - Méier, 88 206, 91 653, 96 899, 90 540
Região de Planejamento 3.2 - Méier,XIII Méier , 88 206, 91 653, 96 899, 90 540
Região de Planejamento 3.2 - Méier,XXVIII Jacarezinho ,…,…,…,…
Região de Planejamento 3.3 - Madureira,Região de Planejamento 3.3 - Madureira, 154 912, 152 162, 142 643, 142 750
Região de Planejamento 3.3 - Madureira,XIV Irajá , 46 150, 43 824, 43 535, 48 609
Região de Planejamento 3.3 - Madureira,XV Madureira , 108 763, 108 338, 99 108, 94 141
Região de Planejamento 3.4 - Inhaúma,Região de Planejamento 3.4 - Inhaúma, 57 397, 65 172, 61 156, 61 806
Região de Planejamento 3.4 - Inhaúma,XII Inhaúma , 40 180, 46 759, 45 742, 45 257
Região de Planejamento 3.4 - Inhaúma,XXIX Complexo do Alemão, 17 217, 18 413, 15 414, 16 550
Região de Planejamento 3.5 - Penha,Região de Planejamento 3.5 - Penha, 85 253, 81 332, 76 880, 77 319
Região de Planejamento 3.5 - Penha,XI Penha, 47 829, 45 855, 42 807, 41 756
Região de Planejamento 3.5 - Penha,XXXI Vigário Geral , 37 424, 35 477, 34 073, 35 563
Região de Planejamento 3.6 - Pavuna,Região de Planejamento 3.6 - Pavuna, 81 499, 91 981, 90 816, 85 572
Região de Planejamento 3.6 - Pavuna,XXII Anchieta , 43 516, 42 508, 43 198, 41 226
Região de Planejamento 3.6 - Pavuna,XXV Pavuna , 37 983, 49 474, 47 618, 44 346
Região de Planejamento 3.7 - Ilha do Governador, XX Ilha do Governador , 71 519, 70 014, 70 862, 65 051
Área de Planejamento 4,Área de Planejamento 4, 313 351, 312 274, 307 076, 325 391
Região de Planejamento 4.1 - Jacarepaguá,Região de Planejamento 4.1 - Jacarepaguá, 201 838, 193 280, 181 843, 198 247
Região de Planejamento 4.1 - Jacarepaguá,XVI Jacarepaguá , 201 838, 193 280, 181 843, 198 247
Região de Planejamento 4.1 - Jacarepaguá,XXXIV Cidade de Deus,…,…,…,…
Região de Planejamento 4.2 - Barra da Tijuca,XXIV Barra da Tijuca , 111 513, 118 994, 125 233, 127 144
Área de Planejamento 5,Área de Planejamento 5, 510 066, 482 809, 432 090, 440 888
Região de Planejamento 5.1 - Bangu,Região de Planejamento 5.1 - Bangu, 181 737, 231 127, 143 494, 147 970
Região de Planejamento 5.1 - Bangu,XVII Bangu , 114 182, 168 076, 89 206, 93 007
Região de Planejamento 5.1 - Bangu,XXXIII Realengo, 67 555, 63 050, 54 289, 54 964
Região de Planejamento 5.2 - Campo Grande,XVIII Campo Grande , 171 726, 104 933, 156 479, 158 868
Região de Planejamento 5.3 - Santa Cruz,XIX Santa Cruz , 87 473, 82 259, 74 559, 82 244
Região de Planejamento 5.4 - Guaratiba ,XXVI Guaratiba , 69 130, 64 491, 57 557, 51 806
Coleta Seletiva ,, 19 462, 14 946, 14 797, 14 715
