Área/Região,Bairro,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Região de Planejamento 1.1 - Centro,Centro,92353,95657,85184,0,43008,0,42064,49518,45043,50449,43573,37440,33184,29451,28783,31138,30194,30673,31439,27213,27676,40814,43915,41614,37969,42414,37891,35482,32477,30844,23223,20404,20092,19998
Região de Planejamento 1.1 - Centro,Paquetá,0,0,0,0,0,0,0,0,0,0,0,1175,2508,2133,1458,973,0,0,0,4404,5669,35915,2127,1364,1349,0,0,0,0,0,0,0,0,0
Região de Planejamento 1.1 - Centro,Portuária,0,0,0,84410,35916,0,11386,15547,10492,12260,9776,8526,10296,11441,9818,11645,11911,13333,13192,11170,13111,16060,18439,15088,11524,11172,9537,10295,9149,13714,8212,9125,14766,14226
Região de Planejamento 1.1 - Centro,Rio Comprido,0,0,0,0,13602,0,15626,18037,16413,19230,18189,15153,18008,13532,13881,15088,15344,15469,15903,15511,15211,16700,17993,18731,18777,23692,21261,20250,19647,20639,24099,28519,29652,30211
Região de Planejamento 1.1 - Centro,Santa Teresa,0,0,0,0,8248,0,13080,13419,12604,13012,14053,12462,11954,11051,11393,12594,12555,12768,11229,11598,11931,0,17699,18972,17500,17563,13425,13040,13168,11898,0,0,0,0
Região de Planejamento 1.1 - Centro,São Cristóvão,0,0,0,0,28965,0,19481,21525,19523,18494,16975,14838,16297,15270,16780,17842,19168,19764,19871,17729,17184,45970,17643,19468,23258,25363,23011,20933,21080,16783,15356,14853,13044,12858
Região de Planejamento 2.1 - Zona Sul,Botafogo,216607,223372,199342,190613,82333,0,68300,81967,80935,69934,70216,68533,68123,61123,59025,61956,62572,63518,67157,64535,62796,19224,72074,70616,63025,64691,58799,59346,58474,56090,49414,48521,45490,44672
Região de Planejamento 2.1 - Zona Sul,Copacabana,0,0,0,0,41071,0,51555,59287,54165,52783,51037,49080,45723,41282,40845,46379,46568,47540,49809,43856,45035,47152,50115,48725,43598,43634,39279,39193,38383,38598,35411,35750,35709,32555
Região de Planejamento 2.1 - Zona Sul,Lagoa,0,0,0,0,52919,0,62768,61663,71801,59729,61277,58894,53036,51028,51839,53881,55354,54480,54136,56788,60193,54964,79099,59117,55668,78863,71159,68261,66304,66157,66113,66069,61027,51878
Região de Planejamento 2.1 - Zona Sul,Rocinha,0,0,0,0,0,0,0,0,0,0,0,1669,5426,3912,6636,7920,6153,13878,18515,16551,17980,56214,6528,25336,23858,0,0,0,0,0,0,0,0,8905
Região de Planejamento 2.2 - Tijuca,Tijuca,0,0,0,0,49096,0,45344,54995,51704,51242,50257,49333,47779,44344,45009,44860,45015,44959,47957,49873,49401,96743,50236,49817,47722,50130,44254,44188,41923,41447,42337,38875,35382,36969
